Review	Liked
The food is creative and well-seasoned	1
Its spiced spicy without being over the top and each item is able to be tailored to your preference	1
Its a great place to order several things	1
Insanely good creative Sichuan-inspired dishes	1
Will definitely be back and send everyone we know here	1
 it is a nice addition to the food scene in the area	1
 Super glad to have a place like this on Cap Hill	1
 The restaurant description says that it's fusion but the food is just bad versions of the original	0
They are excellent	1
5 Golden star review of this white-operated asian restaurant	1
I would recommend this place to my friends and looking forward to come back to try the rest of the items on the menu	1
Wish the food was as good as the service	0
 it was an amazing last meal Super fresh	1
I really like the sushi here	1
Although potentially overhyped, this place was good	1
Five star rating all the way	1
 That hype is truly real	1
All of the dishes were perfect in taste	1
We definitely will on our next Seattle adventure	1
Best fusiony Japanese meal we've had in a LONG time	1
I enjoyed it so much	1
 I'm trying to think of an excuse to come back to Seattle and just have another meal here	1
The seafood was really good	1
The wrappers had a great texture thin but with enough chew and the filling was delicious	1
There are definitely better rolls on their menu	1
 good service best sushi quality for the price cannot praise it enough	1
Fell in love with this place	1
Drinks were good Made well	1
this is a great spot for Happy Hour	1
Check it out and enjoy	1
Their signature Old Fashioned is well made and very strong	1
it's a fun place but honestly it is SO loud in here	0
It's really like an art and the service was great	1
Nice place to people watch too if you ask for a table by the window	1
Restaurant wasn't huge and tables are a little tight in areas	1
Great selection of spirits	1
 I like how they barrel age a lot of it	1
Radiator barrel select was a pretty good choice	1
Great Old Fashioned  Great vibe	1
The best bakery I've been to	1
 From their quiches to their cakes, everything was so good	1
 Their croissant - namely the Kouign Amann - is so delicious	1
  They have an amazing americano as well	1
Just go there	1
 You will never regret this visit	1
They make nutella croissants that melts your heart not only your tongue	1
Excellent quality good service and fantastic selection	1
 Each time we come here we try something new and are never disappointed	1
 You can see that they are very skilled and each item on their bakery shelf pastry shelf is sheer perfection	1
Every week they add something new	1
 I love how they are constantly innovating and adding creative items to their menus	1
 I would rate this the best bakery in seattle- hands down	1
the service and amazing welcome you get from the folks behind the counter	1
Really enjoy getting work done here as their work space is nice	1
Amazingly delicious pastries and they make you feel so welcome being there	1
 I am so glad there's this little gem	1
Super nice folks	1
This is my favorite neighborhood coffee shop	1
 They are really sweet	1
beautiful, inviting, warm coffee shop and bakery	1
We enjoyed all 7 courses of the tasting menu and loved the views	1
Birch was a huge disappointment from start to finish	0
The space is beautiful, but spoiled by the largest TV I've ever seen	0
The bread is served cold	0
I cannot recommend Birch at all based on our experience	0
The experience was fantastic from start to finish	1
 Exceptional food, a well drilled staff and a beautiful location combine for a memorable dining experience	1
Great dining experience here	1
The flavors were tasty without being overbearing	1
 Lots of different tastes and textures mixed into each dish	1
 The time to bring out dishes was extremely long and were left waiting quite a bit in between servings	0
Would definitely recommend the chefs tasting menu with the wine pairings	1
 Our sommelier was awesome and our waitress Asia was great	1
There's much better places to spend your money	1
The food is really good and I think it will become great with absolutely outstanding service	1
The first thing about this place is that it's hard to find	0
It's got a beautiful interior	1
 the outdoors is very much not a fine dining restaurant	0
 The service though still needs work	0
as good as Chef cooked his dishes lacked a complexity of flavor and proper seasoning	1
Service is not quick unfortunately particularly given that we were among few diners at the new restaurant	0
As good as the view is, the ambience does not take overall advantage of it	1
The lighting is a bit bright and the decor is cold	0
This place is brand new and already impressing with its great food and amazing views of Lake Union	1
This is truly an extraordinary restaurant	1
Great food  tasting menus  good for groups  friendly staff	1
The tables are nicely spread out from one  another to provide  privacy and comfort  to the  patrons	1
One of the worst services I’ve ever encountered	0
Their food and ambiance is extra ordinary then others	1
Great spot for a special occasion with your significant other	1
The food doesn’t compensate for the terrible service	0
Felt like we were sitting in a luxury place with screening of music and yummy and tasty food	1
Take a dive into this amazing place and enjoy your scrumptious meal with amazing cocktails 	1
They serve a great variety of Liquor and Buffet lunch	1
 It’s a perfect choice for a funfilled party especially on the weekends	1
Food is somewhat cheap	0
 Starters were messy	0
They should work on the garnishes and glasses of the cocktails	0
 Service is polite and prompt	1
This is one of the best to party	1
Staff was knowledgeable, polite and accommodating	1
This is a nice restaurant serving breakfast and snacks	1
You can delicious food in cheap rate	1
the taste is intact	1
This place is now decades old and still maintains the same old taste with lot of hygiene	1
No card machine Only cash payment	0
 the staff are excellent in service	1
 The food was as per our taste and ambience is also clean and nice	1
Its very famous for baked desserts	1
Its very cozy place for light snacks	1
the decor and vibe is peaceful and serene	1
Hygenic place with quick service and polite and humble staff	1
This is place where you get the best coffee with a great service	1
One of the awesome place to hangout with friends and family	1
Great to see that such a high class hotel doesn't levy service tax	1
The food was super and perfectly balanced	1
It was a decent spread, with good starters	1
it was fresh and Spicy and very delicious	1
abundance of food prepared exquisitely, served professionally and seated in comfort	1
offers culinary sophistication yet has an ethnic feel to it	1
all the dishes were mouthwatering and the service impeccable	1
We never such services from a fine dining restaurant  with such exorbitant rates	0
the restaurant offers sophisticated yet has an ethnic feel to it	1
he food was fantastic and truest authentic	1
The menu and the staff at the restaurant both are excellent	1
they are mastered in non veg items	1
The prices are moderate and the services are good	1
One of the best places with low prices and eat as much as possible	1
Friendly fast service	1
good for their some extraordinary and mind-blowing recipe and also their hospitality management	1
Prices are nominal and the food is tasty	1
Amazing and finger licking kebabs	1
great selection and choice available	1
Fantastic waiters who are always there to help you with a big smile	1
Good seating allocation	1
Great place to have good food and chill out with your friends and family	1
the restaurant is well maintained with good decor and furniture	1
best place for both veg and non veg dishes	1
The place is very spacious and kept reasonably clean and the staff are attentive to the guests	1
As usual great	1
it was amazing	1
Service was great per usual	1
Overpriced and overrated	0
Service was extremely slow	0
Maybe breakfast/brunch is better	1
we came for dinner and I was unimpressed	0
The sautéed greens are fantastic though	1
Great garlic and lemon flavor, this was the only item worth even considering going back for	1
The bread was also great because it was fresh and hot	1
Between the painfully slow service, cramped eating quarters, average food, inflated prices, and difficulty to find parking, it really isn't worth it	0
This is a really nice cafe	1
It's airy and cheerful, and service is good	1
Wow... Loved this place.	1
Crust is not good.	0
Not tasty and the texture was just nasty.	0
Stopped by during the late May bank holiday off Rick Steve recommendation and loved it.	1
The selection on the menu was great and so were the prices.	1
Now I am getting angry and I want my damn pho.	0
Honeslty it didn't taste THAT fresh.)	0
The potatoes were like rubber and you could tell they had been made up ahead of time being kept under a warmer.	0
The fries were great too.	1
A great touch.	1
Service was very prompt.	1
Would not go back.	0
The cashier had no care what so ever on what I had to say it still ended up being wayyy overpriced.	0
I tried the Cape Cod ravoli, chicken, with cranberry...mmmm!	1
I was disgusted because I was pretty sure that was human hair.	0
I was shocked because no signs indicate cash only.	0
Highly recommended.	1
Waitress was a little slow in service.	0
This place is not worth your time, let alone Vegas.	0
did not like at all.	0
The Burrittos Blah!	0
The food, amazing.	1
Service is also cute.	1
I could care less... The interior is just beautiful.	1
So they performed.	1
That's right....the red velvet cake.....ohhh this stuff is so good.	1
- They never brought a salad we asked for.	0
This hole in the wall has great Mexican street tacos, and friendly staff.	1
Took an hour to get our food only 4 tables in restaurant my food was Luke warm, Our sever was running around like he was totally overwhelmed.	0
The worst was the salmon sashimi.	0
Also there are combos like a burger, fries, and beer for 23 which is a decent deal.	1
This was like the final blow!	0
I found this place by accident and I could not be happier.	1
seems like a good quick place to grab a bite of some familiar pub food, but do yourself a favor and look elsewhere.	0
Overall, I like this place a lot.	1
The only redeeming quality of the restaurant was that it was very inexpensive.	1
Ample portions and good prices.	1
Poor service, the waiter made me feel like I was stupid every time he came to the table.	0
My first visit to Hiro was a delight!	1
Service sucks.	0
The shrimp tender and moist.	1
There is not a deal good enough that would drag me into that establishment again.	0
Hard to judge whether these sides were good because we were grossed out by the melted styrofoam and didn't want to eat it for fear of getting sick.	0
On a positive note, our server was very attentive and provided great service.	1
Frozen pucks of disgust, with some of the worst people behind the register.	0
The only thing I did like was the prime rib and dessert section.	1
It's too bad the food is so damn generic.	0
The burger is good beef, cooked just right.	1
If you want a sandwich just go to any Firehouse!!!!!	1
My side Greek salad with the Greek dressing was so tasty, and the pita and hummus was very refreshing.	1
We ordered the duck rare and it was pink and tender on the inside with a nice char on the outside.	1
He came running after us when he realized my husband had left his sunglasses on the table.	1
Their chow mein is so good!	1
They have horrible attitudes towards customers, and talk down to each one when customers don't enjoy their food.	0
The portion was huge!	1
Loved it...friendly servers, great food, wonderful and imaginative menu.	1
The Heart Attack Grill in downtown Vegas is an absolutely flat-lined excuse for a restaurant.	0
Not much seafood and like 5 strings of pasta at the bottom.	0
The salad had just the right amount of sauce to not over power the scallop, which was perfectly cooked.	1
The ripped banana was not only ripped, but petrified and tasteless.	0
At least think to refill my water before I struggle to wave you over for 10 minutes.	0
This place receives stars for their APPETIZERS!!!	1
The cocktails are all handmade and delicious.	1
We'd definitely go back here again.	1
We are so glad we found this place.	1
Great food and service, huge portions and they give a military discount.	1
Always a great time at Dos Gringos!	1
Update.....went back for a second time and it was still just as amazing	1
We got the food and apparently they have never heard of salt and the batter on the fish was chewy.	0
A great way to finish a great.	1
The deal included 5 tastings and 2 drinks, and Jeff went above and beyond what we expected.	1
- Really, really good rice, all the time.	1
The service was meh.	0
It took over 30 min to get their milkshake, which was nothing more than chocolate milk.	0
I guess I should have known that this place would suck, because it is inside of the Excalibur, but I didn't use my common sense.	0
The scallop dish is quite appalling for value as well.	0
2 times - Very Bad Customer Service !	0
The sweet potato fries were very good and seasoned well.	1
Today is the second time I've been to their lunch buffet and it was pretty good.	1
There is so much good food in Vegas that I feel cheated for wasting an eating opportunity by going to Rice and Company.	0
Coming here is like experiencing an underwhelming relationship where both parties can't wait for the other person to ask to break up.	0
walked in and the place smelled like an old grease trap and only 2 others there eating.	0
The turkey and roast beef were bland.	0
This place has it!	1
The pan cakes everyone are raving about taste like a sugary disaster tailored to the palate of a six year old.	0
I love the Pho and the spring rolls oh so yummy you have to try.	1
The poor batter to meat ratio made the chicken tenders very unsatisfying.	0
All I have to say is the food was amazing!!!	1
Omelets are to die for!	1
Everything was fresh and delicious!	1
In summary, this was a largely disappointing dining experience.	0
It's like a really sexy party in your mouth, where you're outrageously flirting with the hottest person at the party.	1
Never been to Hard Rock Casino before, WILL NEVER EVER STEP FORWARD IN IT AGAIN!	0
Best breakfast buffet!!!	1
say bye bye to your tip lady!	0
We'll never go again.	0
Will be back again!	1
Food arrived quickly!	1
It was not good.	0
On the up side, their cafe serves really good food.	1
Our server was fantastic and when he found out the wife loves roasted garlic and bone marrow, he added extra to our meal and another marrow to go!	1
The only good thing was our waiter, he was very helpful and kept the bloddy mary's coming.	1
Best Buffet in town, for the price you cannot beat it.	1
I LOVED their mussels cooked in this wine reduction, the duck was tender, and their potato dishes were delicious.	1
This is one of the better buffets that I have been to.	1
So we went to Tigerlilly and had a fantastic afternoon!	1
The food was delicious, our bartender was attentive and personable AND we got a great deal!	1
The ambience is wonderful and there is music playing.	1
Will go back next trip out.	1
Sooooo good!!	1
REAL sushi lovers, let's be honest - Yama is not that good.	0
At least 40min passed in between us ordering and the food arriving, and it wasn't that busy.	0
This is a really fantastic Thai restaurant which is definitely worth a visit.	1
Nice, spicy and tender.	1
Good prices.	1
Check it out.	1
It was pretty gross!	0
I've had better atmosphere.	0
Kind of hard to mess up a steak but they did.	0
